City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Orizona,BR,-17.0314,-48.2958,90.64,34,95,12.12,moderate rain
1,Ponta Do Sol,PT,32.6667,-17.1,76.71,57,15,5.14,few clouds
2,Aban,RU,56.67,96.06,40.87,88,100,17.98,light rain
3,Albany,US,42.6001,-73.9662,47.48,83,0,2.08,clear sky
4,Hilo,US,19.7297,-155.09,73.27,91,90,0.0,light rain
5,Chokurdakh,RU,70.6333,147.9167,-13.43,100,96,3.36,overcast clouds
6,Viransehir,TR,37.2353,39.7631,74.73,12,5,6.82,clear sky
7,Popondetta,PG,-8.7537,148.2534,73.47,87,17,3.38,few clouds
8,Cape Town,ZA,-33.9258,18.4232,71.11,37,0,4.0,clear sky
9,Yellowknife,CA,62.456,-114.3525,42.42,85,90,19.57,overcast clouds
10,Rikitea,PF,-23.1203,-134.9692,74.46,72,80,15.99,broken clouds
11,Ribeira Grande,PT,38.5167,-28.7,72.0,56,20,11.5,few clouds
12,Leningradskiy,RU,69.3833,178.4167,9.57,95,100,7.34,overcast clouds
13,Dikson,RU,73.5069,80.5464,7.12,86,100,18.54,overcast clouds
14,Mabaruma,GY,8.2,-59.7833,75.69,98,100,0.81,moderate rain
15,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,100,75,5.75,broken clouds
16,Port Alfred,ZA,-33.5906,26.891,63.16,61,45,10.27,scattered clouds
17,Villavicencio,CO,4.142,-73.6266,81.82,69,45,2.51,scattered clouds
18,Olafsvik,IS,64.8945,-23.7142,42.22,86,99,14.65,overcast clouds
19,Nexo,DK,55.0607,15.1306,53.69,77,53,16.67,broken clouds
20,Beloha,MG,-25.1667,45.05,81.34,41,0,13.62,clear sky
21,Hithadhoo,MV,-0.6,73.0833,82.6,75,49,13.29,scattered clouds
22,Morehead,US,37.2711,-87.1764,65.14,82,40,1.99,scattered clouds
23,Victoria,HK,22.2855,114.1577,72.32,71,47,5.01,light rain
24,Paamiut,GL,61.994,-49.6678,31.12,33,96,6.6,overcast clouds
25,Avarua,CK,-21.2078,-159.775,71.65,64,67,6.91,broken clouds
26,Wanaka,NZ,-44.7,169.15,57.11,81,100,1.99,overcast clouds
27,Saint George,US,37.1041,-113.5841,60.53,51,99,3.65,overcast clouds
28,Chicama,PE,-7.8447,-79.1469,57.74,71,58,6.64,broken clouds
29,Punta Arenas,CL,-53.15,-70.9167,41.11,87,75,14.97,light rain
30,Mahebourg,MU,-20.4081,57.7,77.29,73,75,16.11,broken clouds
31,Nuqui,CO,5.7125,-77.2708,80.53,74,72,0.85,broken clouds
32,Butaritari,KI,3.0707,172.7902,79.97,72,10,1.03,clear sky
33,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,73,40,11.5,scattered clouds
34,Esperance,AU,-33.8667,121.9,69.64,38,100,24.05,overcast clouds
35,Tuatapere,NZ,-46.1333,167.6833,51.78,97,89,1.74,overcast clouds
36,Sarangani,PH,5.4033,125.4636,83.97,73,100,10.51,overcast clouds
37,Barrow,US,71.2906,-156.7887,28.42,74,90,6.91,overcast clouds
38,Okhotsk,RU,59.3833,143.3,21.18,70,100,3.74,overcast clouds
39,Hermanus,ZA,-34.4187,19.2345,70.9,58,0,13.85,clear sky
40,Nikolskoye,RU,59.7035,30.7861,37.4,77,42,4.34,scattered clouds
41,Makhu,IN,31.1033,74.9978,72.05,60,59,9.13,broken clouds
42,Mar Del Plata,AR,-38.0023,-57.5575,59.02,55,0,10.0,clear sky
43,Singaparna,ID,-7.3515,108.111,73.87,95,93,2.37,overcast clouds
44,Rabo De Peixe,PT,37.8,-25.5833,67.51,64,20,9.22,few clouds
45,Shubarshi,KZ,48.5872,57.1869,52.74,30,78,8.72,broken clouds
46,Gornopravdinsk,RU,60.05,69.9,38.37,91,100,3.06,overcast clouds
47,Bluff,NZ,-46.6,168.3333,52.18,94,91,1.48,overcast clouds
48,Ancud,CL,-41.8697,-73.8203,56.73,94,100,15.01,overcast clouds
49,Mehamn,NO,71.0357,27.8492,33.87,65,100,10.22,overcast clouds
50,Atuona,PF,-9.8,-139.0333,77.67,72,12,14.54,few clouds
51,Carnarvon,AU,-24.8667,113.6333,69.87,78,90,14.97,overcast clouds
