City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
16,Port Alfred,ZA,63.16,scattered clouds,-33.5906,26.891,The Halyards Hotel
22,Morehead,US,65.14,scattered clouds,37.2711,-87.1764,CCI Express Inn
27,Saint George,US,60.53,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
34,Esperance,AU,69.64,overcast clouds,-33.8667,121.9,Hospitality Esperance
44,Rabo De Peixe,PT,67.51,few clouds,37.8,-25.5833,Quinta das Giestas
51,Carnarvon,AU,69.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
56,Cidreira,BR,67.71,scattered clouds,-30.1811,-50.2056,Hotel Castelo
58,Kogon,UZ,62.24,clear sky,39.7228,64.5517,"""AFROSIYOB"" HOSTEL"
64,Bredasdorp,ZA,68.29,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
67,Ponta Delgada,PT,68.72,few clouds,37.7333,-25.6667,Vila Nova Hotel
75,Vaini,TO,68.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
77,Lufilufi,WS,69.58,broken clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
84,Torbay,CA,61.75,light intensity shower rain,47.6666,-52.7314,Gallows Cove
97,Alofi,NU,69.69,broken clouds,-19.0595,-169.9187,Taloa Heights
102,Greenwood,US,62.55,overcast clouds,34.1668,-82.1165,Quality Inn Greenwood Hwy 25
106,Kruisfontein,ZA,64.89,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
114,Vila Franca Do Campo,PT,68.41,few clouds,37.7167,-25.4333,Pestana Bahia Praia
120,Tazmalt,DZ,68.72,scattered clouds,36.3868,4.3989,Hôtel Numédia
121,Port Macquarie,AU,63.9,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
128,Fortuna,US,60.19,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
138,Airai,TL,63.45,overcast clouds,-8.9266,125.4092,Juvinal Martin
139,Castro,BR,60.73,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
141,Doaba,PK,62.26,clear sky,33.4244,70.7364,mian hayat khan
143,Lagoa,PT,65.95,clear sky,39.05,-27.9833,Casa Das Faias
151,Geraldton,AU,66.61,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
155,Mulchen,CL,64.24,clear sky,-37.7167,-72.2333,Hotel Los Maitenes de Villalón
174,Havre,FR,61.57,clear sky,49.5833,0.3333,gite bois jourdain
176,Faya,SA,68.41,clear sky,18.3851,42.4509,املاك خالد الشعشوع
177,East London,ZA,64.76,scattered clouds,-33.0153,27.9116,Tu Casa
185,Port Elizabeth,ZA,67.1,scattered clouds,-33.918,25.5701,39 On Nile Guest House
